"","start","end","today","city","park","sign_name","sign_hours","hours_list","sign1_map","sign1_vol","sign1_contact","sign1_multilang","sign1_fund_priv","sign1_fund_pub","sign2_PAyes","sign2_PAno","sign2_limituse","sign2_prohibitalcohol","sign2_prohibitdrugs","sign2_prohibittobacco","sign3_prohibitfoodbev","sign3_nopets","sign3_gensafe","safety_phone","safety_camera","mrkt_banners","mrkt_posters","mrkt_boards","amen1_bike","amen1_shelter","amen1_auditorium","amen1_class","amen1_gym","amen1_office","amen1_otherbuild","amen2_handicapaccess","amen2_vend","amen2_art","amen2_drink","amen2_water_dec","amen2_water_nat","amen2_fieldlight","amen2_pathlight","amen2_trash","amen2_petbags","amen3_bench","amen3_grill","amen3_orngarden","amen3_commgarden","amen3_trees","bath","bath_acc","parking","parking_fee","fenced_baseball","fenced_sportsfield","fenced_playarea","playarea_shade","playarea_surface","playarea_surface_otr","playarea_elements","playarea_elements_otr","pathsurface","geo_flat","geo_woods","hood","restype","commtype","near_school","near_library","near_hosp","near_childcare","st_hwy","st_lanes","st_bikelane","st_bus","entrances_num","entrances_xwalk","entrances_calming","playarea_structures"
"126","May 1, 2016 11:23:47 AM","May 1, 2016 1:59:42 PM","May 1, 2016","Pittsburgh","pi09","yes","no","","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","none","no","","no","","yes","no","yes","no","grass pavement rubber","","climber slide swing","","none","somehills","yes","res","sgl","","no","no","no","no","no","1_2","no","no","2","none","none",2
"127","Jun 26, 2016 4:52:51 PM","Jul 14, 2016 12:49:01 PM","Jun 26, 2016","Portland","po01","yes","yes","5AM-12:01AM","yes","no","yes","no","yes","no","no","no","yes","yes","no","yes","no","yes","no","no","no","none","2","none","no","yes","no","no","no","no","","yes","no","no","yes","no","no","yes","yes","yes","yes","yes","no","no","no","many","yes","yes","no","","no","yes","no","no","mulch pavement","","balance climber tube slide splash swing","","paved","somehills","no","mix","","","no","no","no","no","no","1_2","no","yes","none","some","some",5
"128","Apr 30, 2016 2:04:50 PM","Apr 30, 2016 2:24:26 PM","Apr 30, 2016","Portland","po02","yes","yes","5AM-12:01AM","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","yes","no","no","no","none","none","none","yes","no","no","no","no","yes","","yes","no","yes","yes","no","no","yes","yes","yes","no","yes","no","yes","no","many","no","","no","","no","no","yes","no","grass mulch","","climber slide spinner swing","","none","somehills","no","res","sgl apt","","yes","no","no","no","yes","3_4","yes","yes","none","some","none",4
"129","May 10, 2016 10:25:14 AM","May 10, 2016 2:08:25 PM","May 10, 2016","Portland","po03","yes","yes","5:00AM-12:01AM","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","1","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","few","no","","no","","no","no","","","","","","","none","yes","no","res","sgl apt","","yes","no","no","no","no","1_2","no","no","mt4","none","none",NA
"130","Jun 19, 2016 3:01:06 PM","Jun 19, 2016 3:10:47 PM","Jun 19, 2016","Portland","po04","yes","yes","5AM-12:01AM","no","no","yes","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no","no","mt5","none","1","yes","yes","no","no","no","no","","no","no","no","yes","no","no","yes","yes","yes","yes","yes","no","no","no","many","yes","yes","yes","no","yes","no","no","no","mulch","","balance climber tube slide spinner swing","","paved","somehills","no","mix","","","no","no","no","no","no","3_4","no","yes","none","none","some",6
"131","Jun 5, 2016 4:34:17 PM","Jun 5, 2016 4:57:06 PM","Jun 5, 2016","Portland","po05","yes","yes","5:00 AM - 12:01 AM","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","no","mt5","mt5","3_4","yes","yes","no","yes","yes","yes","Swimming pool and locker rooms","yes","no","yes","yes","yes","no","yes","yes","yes","no","yes","yes","yes","no","many","yes","yes","no","","yes","no","yes","no","mulch pavement","","balance climber tube house slide spinner splash swing","Inside gymnasium are play cars, gymnastic toys and climbing pyramid","paved","yes","no","res","sgl multi","","no","no","no","no","no","3_4","yes","yes","none","many","none",9
"132","Jun 30, 2016 3:07:05 PM","Jun 30, 2016 3:13:12 PM","Jun 30, 2016","Portland","po06","yes","yes","5AM-12:01AM","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","few","no","","no","","yes","no","","","","","","","unpaved","yes","no","mix","","","yes","no","no","no","no","1_2","no","no","none","none","none",NA
"133","Apr 17, 2016 3:33:19 PM","Apr 17, 2016 4:57:10 PM","Apr 17, 2016","Portland","po07","yes","yes","5AM-12:01AM","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","yes","no","no","no","yes","yes","yes","yes","no","no","no","many","no","","no","","no","no","no","no","mulch","","balance climber slide spinner swing","Teeter totters","none","yes","no","res","sgl","","yes","no","no","no","no","1_2","no","no","none","some","none",3
"134","Jul 12, 2016 2:20:34 PM","Jul 12, 2016 2:27:05 PM","Jul 12, 2016","Portland","po08","yes","yes","5AM-12:01AM","no","no","no","no","yes","yes","yes","no","no","yes","no","yes","no","no","no","no","no","3_4","none","1","yes","yes","no","no","no","no","","yes","no","yes","yes","no","no","no","yes","yes","yes","yes","no","no","no","many","yes","yes","no","","yes","no","yes","no","mulch","","balance climber tube slide spinner splash swing","Zipline","none","yes","no","mix","","","yes","no","no","no","no","1_2","no","no","none","many","many",8
"135","May 15, 2016 12:43:05 PM","May 15, 2016 12:50:52 PM","May 15, 2016","Pueblo","pu01","yes","no","","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","none","none","none","no","no","no","no","no","no","","yes","no","no","no","no","no","no","yes","yes","yes","yes","yes","no","no","many","no","","no","","no","no","yes","yes","dirt","Gravel","balance climber slide swing","","none","yes","no","res","sgl","","yes","no","no","yes","no","1_2","yes","no","mt4","some","none",5
